gf_verbatim,gf,is_woody,substrate,other,is_useless
0,,,,,0
1,,,,,0
10,,,,,0
2,,,,,0
3,,,,,0
4,,,,,0
5,,,,,0
6,,,,,0
acaulescent rosette,,,,,0
acrocarpic moss,,,,,0
acrocarpous,,,,,0
acrocarpous moss,,,,,0
aloe,,,,,0
aquatic,,,,,0
aquatic herb,,,,,0
aquatic sedge,,,,,0
arborescent_fern,,,,,0
bamboo,,,,,0
branch angle climber,,,,,0
brophyte,,,,,0
bunchgrass,,,,,0
bush,,,,,0
cactus,,,,,0
canopy liana,,,,,0
climber,,,,,0
climbing epihyte,,,,,0
climbing_epiphyte,,,,,0
climbing grass,,,,,0
climbing herb,,,,,0
climbing legume,,,,,0
climbing_plant_,,,,,0
climbing shrub,,,,,0
climbing_vine,,,,,0
climibing_herb,,,,,0
club moss,,,,,0
columnar succulent,,,,,0
corollocarpus epigaeus,,,,,0
creeper,,,,,0
creeping herb,,,,,0
crucifer,,,,,0
cushion grass,,,,,0
cushion plant,,,,,0
cyperoid,,,,,0
dwarf palm,,,,,0
dwarf shrub,,,,,0
dwarf succulent,,,,,0
epiphyte,,,,,0
epiphytic,,,,,0
epiphytic_climber,,,,,0
epiphytic_clumps,,,,,0
epiphytic_herb,,,,,0
epiphytic_plant_,,,,,0
epiphytic_shrub,,,,,0
epiphytic_vine,,,,,0
evergreen climber,,,,,0
evergreen phreatophyte,,,,,0
fern,,,,,0
fern ally,,,,,0
forb,,,,,0
geophyte,,,,,0
giant tree,,,,,0
graminoid,,,,,0
gras,,,,,0
grass,,,,,0
halophyte,,,,,0
hanging_epiphyte,,,,,0
hanging_vine,,,,,0
hemicr,,,,,0
hemicryptophyte,,,,,0
hemi-epiphyte,,,,,0
hemiepiphyte,,,,,0
hemi-epiphytic strangler,,,,,0
hemi-parasite,,,,,0
hemiparasite,,,,,0
hepatic,,,,,0
herb,,,,,0
herbaceous climber,,,,,0
herbaceous geophyte,,,,,0
herbaceous hemi-cryptophyte,,,,,0
herbaceous phanerophyte,,,,,0
herbaceous subshrub,,,,,0
herbaceous twiner,,,,,0
herbaceous vine,,,,,0
herbaeous climber,,,,,0
"herb, cree",,,,,0
herb_erect,,,,,0
"herb, pere",,,,,0
herb phs,,,,,0
"herb, wood",,,,,0
herg,,,,,0
hierba_,,,,,0
hook climber,,,,,0
hydrophyte,,,,,0
large tree,,,,,0
large vine,,,,,0
leaf succulent,,,,,0
leaf-succulent,,,,,0
leaning climber,,,,,0
liana,,,,,0
lithophyte,,,,,0
liverwort,,,,,0
lycopod,,,,,0
lycopsid,,,,,0
mallee,,,,,0
marsh,,,,,0
medium sized tree,,,,,0
medium-sized_tree,,,,,0
medium size tree,,,,,0
mistletoe,,,,,0
moss,,,,,0
mushroom,,,,,0
neophyte,,,,,0
non-woody climber,,,,,0
non-woody epiphyte,,,,,0
orchid,,,,,0
palm,,,,,0
palm-like shrub,,,,,0
palmoid,,,,,0
pam,,,,,0
parasite,,,,,0
pendent epiphyte,,,,,0
per grass,,,,,0
phaerophyte,,,,,0
pleurocarpic moss,,,,,0
pleurocarpous moss,,,,,0
pleurocarpus,,,,,0
pygmy,,,,,0
reed,,,,,0
rosette,,,,,0
ruderal,,,,,0
saprophyte,,,,,0
saxicole,,,,,0
scandent,,,,,0
scandent_epiphyte,,,,,0
scandent_herb,,,,,0
scandent_vine,,,,,0
sclerophyll,,,,,0
scrambler,,,,,0
scrambler with branch tendrils,,,,,0
scrambling herb,,,,,0
sedge,,,,,0
semi-epiphytic,,,,,0
semi-shrub,,,,,0
semi-succulent shrub,,,,,0
sg,,,,,0
shrub,,,,,0
shrub_,,,,,0
shrubby bamboo,,,,,0
shrubby climber,,,,,0
shrublet,,,,,0
shrub-like_clumps,,,,,0
shrub-like_herb,,,,,0
shrub_(occasionally),,,,,0
shrub_(rare),,,,,0
shrub/tree,,,,,0
shrug,,,,,0
shub,,,,,0
shurb,,,,,0
small_herb_,,,,,0
small_shrub,,,,,0
small tree,,,,,0
small_tree,,,,,0
stem rosette,,,,,0
stem succulent,,,,,0
stem-succulent,,,,,0
sub shrub,,,,,0
sub-shrub,,,,,0
subshrub,,,,,0
succule\nt,,,,,0
succulent,,,,,0
succulent basal rosette,,,,,0
succulent herb,,,,,0
succulent shrub,,,,,0
succulent shrubs,,,,,0
succulent stem rosette,,,,,0
succulent tree,,,,,0
suffrutescent,,,,,0
suffrutex,,,,,0
tendril climber,,,,,0
terrestrial,,,,,0
terrestrial_,,,,,0
terrestrial bryoid,,,,,0
terrestrial_clumps,,,,,0
terrestrial_epiphyte,,,,,0
terrestrial_fern,,,,,0
terrestrial_herb,,,,,0
terrestrial_shrub,,,,,0
terrestrial_trailing_plant,,,,,0
therophyte,,,,,0
trailer,,,,,0
trailing_herb,,,,,0
trailing_herb_,,,,,0
trailing_herbaceous_vine,,,,,0
trailing_plant,,,,,0
trailing_vine,,,,,0
tree,,,,,0
tree_,,,,,0
tree-climbing__plant,,,,,0
tree fern,,,,,0
tree_fern,,,,,0
treelet,,,,,0
tree like,,,,,0
tree-like,,,,,0
treelike rosette,,,,,0
"tree (means find other one in original, add )",,,,,0
treen,,,,,0
tree/shrub,,,,,0
trunk,,,,,0
tussock,,,,,0
tussock grass,,,,,0
twiner,,,,,0
twining herb,,,,,0
twining shrub,,,,,0
understorey,,,,,0
understorey shrub,,,,,0
vascular cryptogam,,,,,0
vascular cryptogram,,,,,0
vine,,,,,0
viny shrub,,,,,0
wildflower,,,,,0
wody climber,,,,,0
wood_shrub,,,,,0
woody,,,,,0
woody climber,,,,,0
woody creeper,,,,,0
woody epiphyte,,,,,0
woody herb,,,,,0
woody_herb,,,,,0
woody phanerophyte,,,,,0
woody vine,,,,,0
